"Variable","importance.all","p.all","importance.one","p.one","importance.mf"
"Journal",0.878306746748208,0.00143817140397167,0.391213119460923,0.125357743209462,0
"Setting",NA,NA,NA,NA,0
"Train_Skills",NA,NA,NA,NA,0
"DV_Alligned",0.700051970861202,4.52010287214957e-05,0.598125856728829,9.62484674162658e-07,0.0349150032384355
"Train_Knowledge",NA,NA,NA,NA,0
"Location",0.297841171217412,0.022089116281312,0.459545367048644,0.000154788370901116,0.0152628768293747
"DV_Knowledge",NA,NA,NA,NA,0.000795272548398345
"Pre_Post",NA,NA,NA,NA,0.00135469108851893
"Pretest_es",NA,NA,NA,NA,0.00382976832728057
"Blind",NA,NA,NA,NA,0.00145575338645051
"Final_N_exp",NA,NA,NA,NA,0.0100577504989004
"Self_report",NA,NA,NA,NA,0.000686235204532025
"n_total",0.000240262439145685,0.81328182286195,-0.00277856233966886,0.00766784608930104,0.0089055940165892
"Curriculum",-0.232458160621535,0.153710505098955,0.410679571745264,0.000589139172053712,0.0109147469865853
"Initial_N_exp",NA,NA,NA,NA,-0.0101347262158699
"Control",NA,NA,NA,NA,NA
"Video",NA,NA,NA,NA,NA
"DV_Attitude",NA,NA,NA,NA,NA
"DV_Skills",-0.259026430388396,0.0871788349068519,-0.127350387011035,0.484470418401191,NA
"Integrated",NA,NA,NA,NA,NA
"Scope",NA,NA,NA,NA,NA
"Final_N_con",NA,NA,NA,NA,NA
"Supervision",NA,NA,NA,NA,NA
"Design",NA,NA,NA,NA,NA
"Attrition",NA,NA,NA,NA,NA
"Assignment",NA,NA,NA,NA,NA
"Train_Attitude",NA,NA,NA,NA,NA
"Two_group_design",NA,NA,NA,NA,NA
"Trainee_Age",NA,NA,NA,NA,NA
"Trainee_Experience",NA,NA,NA,NA,NA
